,0
0,18w
1,AANATL3
2,AdSS
3,AgmNAT
4,Aldh
5,Ance
6,Arc2
7,CG10184
8,CG10877
9,CG11267
10,CG1129
11,CG11741
12,CG12926
13,CG13252
14,CG13506
15,CG14253
16,CG15117
17,CG15706
18,CG1637
19,CG16953
20,CG16974
21,CG17570
22,CG17834
23,CG2930
24,CG2991
25,CG30022
26,CG3106
27,CG31248
28,CG31324
29,CG31446
30,CG32280
31,CG34194
32,CG34232
33,CG34288
34,CG4199
35,CG43051
36,CG43064
37,CG43187
38,CG43759
39,CG46385
40,CG5254
41,CG6834
42,CG7414
43,CG7565
44,CG7966
45,CG8036
46,CG8306
47,CG8468
48,CG9171
49,CG9394
50,CG9498
51,CG9663
52,Cbs
53,Csp
54,CtsB1
55,Cyp317a1
56,Cyp6d5
57,Dhap-at
58,Dic1
59,Dif
60,Drat
61,E23
62,Fmo-2
63,Fur1
64,GEFmeso
65,Gbs-70E
66,Gdh
67,Gk2
68,Gli
69,GlyS
70,Gp93
71,Gpdh1
72,Gpo1
73,GstO3
74,GstS1
75,GstT4
76,Hex-A
77,HmgZ
78,Hsc70-4
79,Hsp60A
80,ImpL2
81,Indy
82,Inx2
83,LManI
84,LManII
85,LamC
86,Lamp1
87,MFS3
88,MTPAP
89,Mccc2
90,Mipp1
91,NELF-B
92,Oseg4
93,Oseg6
94,Pdk1
95,Pepck2
96,Pgant6
97,Pgk
98,Ppa
99,Prosap
100,Prps
101,Ptpmeg2
102,Pvr
103,RhoL
104,Sap-r
105,Sec61alpha
106,Sema2b
107,Smg6
108,Sod3
109,Strica
110,Sulf1
111,Svil
112,Tsp26A
113,Tsp42Er
114,Zip48C
115,aay
116,aos
117,babos
118,baz
119,bbg
120,bowl
121,caps
122,cdi
123,crb
124,dally
125,dgrn
126,drpr
127,exex
128,fbp
129,foxo
130,fus
131,h
132,hoip
133,hth
134,kra
135,kst
136,l(2)gl
137,loj
138,nub
139,pigs
140,pirk
141,pug
142,pxb
143,ref(2)P
144,row
145,scrib
146,scu
147,shep
148,smp-30
149,spir
150,trol
151,whd
